Date;ME_Power;ME_RPM
16/11/2019;8925;80
16/09/2019;8874;80
16/05/2019;8823;80
12/09/2019;8823;80
25/02/2019;8590;80
11/09/2019;8468;80
09/02/2018;8336;80
01/09/2017;8316;80
22/05/2020;8304;80
18/06/2018;8200;80
17/03/2020;8174;80
04/10/2019;8164;80
07/04/2019;8130;80
21/09/2017;8113;80
15/01/2018;8100;80
04/06/2018;8069;80
21/06/2018;8000;80
28/11/2017;7900;80
29/05/2016;7895;80
19/05/2016;7881;80
09/07/2017;7809;80
17/08/2016;7792;80
20/05/2016;7742;80
02/07/2017;7708;80
16/11/2016;7681;80
30/05/2016;7605;80
01/12/2017;7600;80
24/05/2016;7540;80
22/10/2017;7500;80
07/12/2017;7500;80
28/05/2016;7462;80
18/10/2017;7459;80
19/10/2017;7459;80
20/10/2017;7459;80
21/10/2017;7459;80
17/10/2017;7450;80
21/08/2016;7417;80
22/05/2016;7412;80
23/11/2017;7400;80
06/12/2017;7400;80
27/05/2016;7346;80
10/03/2017;7344;80
17/05/2019;7302;80
26/05/2016;7270;80
06/12/2016;7218;80
25/05/2016;7170;80
08/12/2016;7100;80
05/08/2016;7087;80
18/05/2016;7068;80
07/01/2017;6958;80
16/05/2016;6934;80
11/01/2017;6920;80
10/01/2017;6916;80
17/05/2016;6891;80
15/05/2016;6820;80
03/01/2017;6708;80
08/09/2016;6608;80
15/09/2019;11696;79
15/09/2016;10110;79
24/12/2018;9127;79
28/01/2020;9054;79
06/10/2019;9003;79
10/11/2020;8609;79
15/02/2016;8576;79
04/04/2019;8308;79
05/04/2019;8200;79
23/05/2017;8144;79
19/11/2017;8000;79
04/09/2018;8000;79
21/05/2020;8000;79
22/11/2017;7665;79
10/07/2017;7606;79
11/07/2017;7606;79
10/02/2017;7583;79
03/07/2017;7555;79
04/12/2015;7501;79
27/11/2017;7500;79
02/12/2017;7500;79
23/06/2018;7500;79
16/08/2018;7500;79
28/12/2018;7403;79
03/01/2019;7403;79
04/01/2019;7403;79
24/11/2017;7400;79
25/11/2017;7400;79
26/11/2017;7400;79
25/11/2016;7391;79
19/08/2016;7333;79
04/07/2017;7302;79
05/07/2017;7302;79
12/07/2017;7302;79
14/02/2017;7261;79
18/11/2017;7200;79
18/08/2016;7120;79
01/12/2016;7083;79
31/08/2017;7048;79
17/02/2017;7042;79
23/02/2020;7000;79
29/11/2015;6969;79
23/08/2016;6958;79
28/11/2015;6916;79
04/08/2016;6875;79
26/11/2015;6865;79
24/02/2016;6849;79
02/11/2016;6792;79
08/01/2017;6760;79
06/08/2016;6750;79
05/01/2017;6750;79
05/03/2017;6729;79
04/01/2017;6720;79
30/11/2015;6711;79
03/09/2016;6667;79
07/12/2015;6663;79
06/01/2017;6640;79
28/07/2016;6625;79
07/09/2016;6625;79
29/10/2016;6480;79
29/07/2016;6478;79
09/01/2017;6459;79
21/07/2017;6389;79
21/07/2016;6352;79
17/06/2016;6200;79
28/01/2018;9564;78
25/11/2015;9131;78
24/11/2015;9027;78
21/11/2015;8990;78
12/12/2016;8940;78
05/10/2019;8840;78
03/11/2017;8400;78
23/05/2019;8316;78
29/08/2020;8208;78
28/08/2020;8160;78
06/04/2019;8060;78
09/02/2019;8000;78
25/08/2020;7958;78
31/08/2020;7958;78
18/05/2020;7917;78
21/05/2019;7910;78
15/11/2018;7888;78
26/08/2020;7880;78
30/08/2020;7880;78
27/08/2020;7875;78
17/04/2018;7809;78
27/12/2018;7809;78
25/05/2019;7809;78
01/09/2020;7680;78
10/12/2016;7641;78
24/02/2018;7606;78
29/08/2018;7599;78
02/09/2020;7583;78
03/09/2020;7583;78
24/01/2017;7532;78
10/02/2018;7505;78
11/06/2019;7403;78
23/07/2017;7302;78
15/11/2015;7250;78
16/11/2015;7250;78
03/12/2017;7200;78
26/05/2019;7200;78
13/11/2016;7189;78
12/11/2015;7185;78
04/03/2017;7183;78
06/01/2016;7048;78
18/02/2017;7043;78
11/09/2016;7042;78
26/11/2016;7000;78
05/12/2017;7000;78
27/11/2015;6951;78
06/02/2017;6875;78
09/02/2017;6826;78
06/12/2015;6813;78
01/11/2016;6800;78
17/11/2017;6800;78
11/12/2015;6799;78
27/11/2016;6792;78
23/11/2015;6758;78
03/12/2015;6741;78
15/08/2016;6667;78
22/12/2015;6664;78
01/12/2015;6655;78
02/12/2015;6655;78
17/12/2015;6632;78
16/12/2015;6621;78
07/02/2017;6608;78
02/01/2017;6600;78
15/12/2015;6590;78
08/12/2015;6552;78
09/12/2015;6552;78
12/10/2017;6550;78
14/12/2015;6531;78
22/11/2015;6529;78
07/08/2016;6522;78
13/12/2015;6488;78
21/12/2015;6488;78
20/11/2015;6486;78
03/11/2016;6480;78
10/09/2016;6478;78
10/10/2017;6450;78
31/05/2016;6394;78
27/07/2016;6391;78
11/06/2016;6370;78
13/06/2016;6370;78
10/12/2015;6359;78
02/06/2016;6326;78
09/06/2016;6325;78
04/01/2016;6310;78
12/06/2016;6310;78
04/06/2016;6297;78
01/06/2016;6287;78
10/06/2016;6256;78
04/09/2016;6216;78
12/12/2015;6189;78
14/06/2016;6150;78
05/06/2016;6113;78
25/04/2017;9703;77
22/07/2019;9330;77
23/12/2018;9229;77
24/12/2015;9094;77
16/02/2018;8925;77
26/01/2018;8400;77
12/05/2019;8113;77
26/05/2020;7957;77
21/11/2017;7830;77
19/01/2019;7606;77
22/05/2019;7606;77
30/08/2018;7500;77
24/03/2019;7440;77
01/01/2019;7403;77
10/06/2019;7403;77
13/05/2017;7200;77
28/08/2018;7200;77
05/01/2019;7200;77
08/02/2019;7200;77
25/03/2019;7200;77
17/11/2015;7164;77
22/07/2017;7099;77
06/01/2019;7099;77
18/05/2019;7099;77
04/12/2017;7000;77
14/08/2016;6981;77
04/09/2020;6970;77
14/07/2018;6800;77
18/01/2019;6795;77
01/02/2019;6769;77
26/09/2016;6760;77
21/06/2016;6759;77
08/02/2017;6750;77
06/02/2019;6750;77
23/12/2015;6710;77
28/11/2016;6696;77
23/04/2017;6521;77
15/02/2017;6500;77
05/12/2015;6483;77
02/12/2016;6435;77
09/09/2016;6375;77
10/10/2016;6375;77
03/12/2016;6291;77
29/12/2016;6267;77
30/10/2016;6167;77
10/05/2019;8113;76
10/02/2019;8000;76
03/04/2017;7895;76
20/05/2019;7809;76
27/05/2019;7606;76
20/11/2017;7500;76
17/01/2019;7302;76
19/05/2019;7200;76
28/05/2019;7200;76
03/09/2018;7100;76
26/03/2019;7100;76
24/08/2018;7000;76
25/08/2018;7000;76
27/08/2018;7000;76
08/05/2017;6947;76
22/08/2018;6900;76
23/08/2018;6900;76
26/08/2018;6900;76
31/08/2018;6800;76
01/09/2018;6800;76
24/01/2019;6800;76
21/08/2018;6750;76
13/12/2016;6729;76
05/02/2019;6700;76
26/02/2020;6667;76
29/05/2019;6592;76
04/02/2019;6572;76
02/02/2019;6570;76
03/02/2019;6570;76
20/12/2015;6540;76
30/12/2017;6500;76
27/01/2019;6500;76
